time,open,high,low,close,Volume
1759215600,25278.266400720346,25284.37909096022,25250.50459921425,25270.37084249384,4042
1759217400,25269.861451640518,25273.172492187117,25219.686452588216,25256.36259402746,5682
1759219200,25255.59850774748,25263.748761400642,25228.091401668044,25254.32503061417,3691
1759221000,25253.560944334185,25278.011705293684,25251.01399006757,25266.80510652058,2155
1759222800,25266.29571566726,25272.15371048047,25251.523380920895,25270.11614706718,2496
1759224600,25270.880233347165,25286.416654373512,25252.28746720088,25260.437720854046,2775
1759226400,25259.928330000723,25277.757009867022,25245.41069068102,25255.089116894156,2340
1759228200,25255.089116894156,25281.06805041362,25239.298000441147,25274.445969320423,2755
1759230000,25273.68188304044,25283.105613826912,25259.4189391474,25271.134928773827,2577
1759231800,25270.37084249384,25280.81335498696,25255.343812320818,25268.842669933874,2213
1759233600,25268.842669933874,25287.180740653497,25253.560944334185,25282.08683212027,2976
1759235400,25281.832136693607,25311.631501612992,25277.757009867022,25300.17020741323,6382
1759237200,25299.406121133245,25303.481247959826,25278.266400720346,25287.180740653497,7919
1759239000,25286.671349800174,25297.368557719954,25186.57604712223,25251.01399006757,58904
1759240800,25251.01399006757,25278.77579157367,25211.79089436171,25248.97642665428,39783
1759242600,25249.231122080942,25321.30992782613,25217.1394983216,25308.829851919716,41710
1759244400,25309.084547346378,25329.714876905953,25220.4505388682,25245.15599525436,40522
1759246200,25245.15599525436,25287.180740653497,25226.563229108076,25276.73822816038,31240
1759248000,25276.483532733717,25310.358024479687,25245.15599525436,25276.483532733717,23680
1759249800,25276.992923587037,25290.491781200093,25232.93061477461,25248.72173122762,15476
1759251600,25248.467035800957,25252.542162627542,25197.27325504201,25213.06437149502,19716
1759253400,25213.06437149502,25263.239370547322,25196.254473335364,25234.20409190792,23916
1759255200,25233.694701054595,25299.915511986568,25227.072619961396,25293.802821746693,23854
1759257000,25293.54812632003,25318.508278132853,25281.832136693607,25304.24533423981,18039
1759258800,25304.500029666473,25332.77122202589,25287.690131506817,25328.441399772648,21571
1759260600,25328.441399772648,25381.672743944888,25302.462466253182,25365.88162749188,52890
1759262400,25365.626932065217,25368.937972611817,25315.96132386624,25321.30992782613,15350
1759264200,25321.56462325279,25321.81931867945,25301.188989119873,25304.754725093135,3927
1759269600,25309.5939381997,25338.883912265766,25301.698379973197,25336.846348852476,2864
1759271400,25336.846348852476,25343.977820798995,25288.19952236014,25301.95307539986,3038
1759273200,25300.93429369321,25315.451933012915,25286.416654373512,25305.009420519797,2362
1759275000,25305.26411594646,25311.631501612992,25295.33099430666,25296.60447143997,1111
1759276800,25297.113862293292,25303.481247959826,25251.01399006757,25256.36259402746,3592
1759278600,25256.871984880785,25277.50231444036,25253.815639760847,25259.928330000723,2547
1759280400,25259.928330000723,25274.445969320423,25249.231122080942,25271.89901505381,1826
