time,open,high,low,close,Volume
1714521600,19105.59583408117,19115.417079369425,19099.048337222335,19106.959895926764,2318
1714523400,19106.414271188525,19113.23458041648,19097.13865063851,19112.14333094001,1471
1714525200,19112.14333094001,19117.59957832237,19098.229900114984,19109.960831987064,2329
1714527000,19109.688019617945,19111.59770620177,19095.77458879292,19108.86958251059,1417
1714528800,19109.688019617945,19109.688019617945,19098.5027124841,19107.778333034115,983
1714530600,19108.323957772354,19120.60051438267,19106.14145881941,19113.780205154715,1350
1714532400,19114.59864226207,19124.96551228856,19114.325829892954,19118.690827798844,1259
1714534200,19118.96364016796,19127.148011241505,19116.23551647678,19125.23832465768,896
1714536000,19126.05676176503,19128.784885456214,19118.96364016796,19119.782077275315,718
1714537800,19120.32770201355,19128.512073087095,19118.690827798844,19127.420823610624,548
1714539600,19126.60238650327,19127.420823610624,19109.415207248825,19110.23364435618,994
1714541400,19110.5064567253,19115.96270410766,19103.14052275911,19105.86864645029,1314
1714543200,19105.050209342935,19115.417079369425,19079.133034276714,19084.31646928996,2564
1714545000,19084.862094028194,19085.40771876643,19059.763356069325,19081.588345598775,3123
1714546800,19081.588345598775,19095.5017764238,19070.403038464934,19084.862094028194,2503
1714548600,19084.862094028194,19085.68053113555,19046.941174720774,19061.400230284034,3399
1714550400,19061.94585502227,19085.40771876643,19058.672106592854,19069.31178898846,3897
1714552200,19069.038976619344,19075.58647347818,19052.397422103135,19069.58460135758,2803
1714554000,19068.766164250224,19069.857413726695,19012.29400384277,19023.75212334573,6023
1714555800,19023.479310976614,19038.75680364723,19006.56494409129,19027.02587177515,5333
1714557600,19027.29868414427,19029.481183097214,19003.29119566187,19003.29119566187,3615
1714559400,19003.29119566187,19054.034296317845,19000.83588433981,19053.21585921049,6255
1714561200,19052.943046841374,19067.129290035515,19043.12180155312,19046.941174720774,5625
1714563000,19046.12273761342,19053.761483948725,19029.208370728094,19038.211178908994,4015
1714564800,19038.211178908994,19080.497096122304,19032.209306788394,19062.21866739139,8621
1714566600,19063.30991686786,19114.053017523835,19055.671170532554,19094.683339316445,14728
1714568400,19094.683339316445,19117.053953584134,19090.04552904144,19098.5027124841,12491
1714570200,19098.77552485322,19115.96270410766,19048.032424197245,19069.58460135758,73455
1714572000,19072.03991267964,19091.955215625265,19015.840564641305,19062.21866739139,51915
1714573800,19062.21866739139,19103.686147497345,19052.397422103135,19083.225219813485,28116
1714575600,19082.952407444365,19089.227091934084,19001.108696708925,19044.75867576783,34257
1714577400,19044.48586339871,19077.768972431124,19009.83869252071,19011.475566735415,28840
1714579200,19011.475566735415,19061.127417914915,18986.922453514784,19056.48960763991,26989
1714581000,19055.671170532554,19057.035232378144,19011.2027543663,19024.29774808397,21528
1714582800,19023.479310976614,19044.48586339871,19001.92713381628,19040.939302600174,15672
1714584600,19041.212114969294,19069.31178898846,19032.75493152663,19062.491479760505,16749
1714586400,19063.30991686786,19168.88830371658,19050.21492315019,19160.703932643035,59041
1714588200,19160.976745012154,19370.49664449488,19058.399294223735,19370.49664449488,119060
1714590000,19370.769456864,19416.874747244965,19288.107309021205,19333.66697466393,71824
1714591800,19334.485411771286,19334.485411771286,19015.29493990307,19022.115249131024,92464
1714593600,19022.66087386926,19086.77178061202,19022.115249131024,19056.21679527079,23002
1714595400,19055.398358163435,19076.95053532377,19036.847117063404,19069.31178898846,4416
1714600800,19082.67959507525,19112.96176804736,19082.67959507525,19097.957087745865,3743
1714602600,19097.13865063851,19103.413335128225,19086.498968242904,19098.77552485322,1567
1714604400,19098.77552485322,19101.77646091352,19091.68240325615,19097.13865063851,1279
1714606200,19096.593025900274,19133.42269573122,19095.228964054684,19129.60332256357,2724
1714608000,19129.876134932685,19140.515817328294,19115.144267000305,19123.32863807385,2485
1714609800,19123.60145044297,19144.06237812683,19121.96457622826,19138.06050600623,2656
1714611600,19138.878943113585,19149.245813140074,19125.511137026795,19137.242068898875,2437
1714613400,19136.96925652976,19142.42550391212,19124.69269991944,19141.33425443565,1731
1714615200,19142.152691543,19151.973936831255,19138.33331837535,19146.79050181801,1832
1714617000,19146.51768944889,19163.704868703335,19142.152691543,19157.1573718445,1593
1714618800,19157.1573718445,19161.24955738127,19152.51956156949,19160.1583079048,897
1714620600,19160.703932643035,19161.79518211951,19145.42643997242,19150.337062616545,1084
1714622400,19150.609874985665,19155.247685260674,19144.608002865065,19145.42643997242,649
1714624200,19145.972064710655,19154.702060522435,19145.1536276033,19153.88362341508,584
1714626000,19153.610811045965,19158.52143369009,19147.06331418713,19147.336126556245,928
1714627800,19148.1545636636,19162.61361922686,19140.78862969741,19141.33425443565,1690
1714629600,19142.42550391212,19156.611747106264,19128.784885456214,19148.973000770955,2780
1714631400,19148.700188401835,19154.42924815332,19131.240196778275,19137.242068898875,2456
1714633200,19137.242068898875,19156.338934737145,19118.145203060605,19146.79050181801,4488
1714635000,19146.244877079775,19192.895792198975,19146.244877079775,19173.25330162247,5496
1714636800,19172.98048925335,19205.717973547526,19167.52424187099,19186.893920078375,6437
1714638600,19186.893920078375,19194.532666413685,19160.976745012154,19162.340806857745,3195
1714640400,19162.61361922686,19182.801734541605,19162.61361922686,19180.073610850424,2248
1714642200,19178.70954900483,19193.98704167545,19172.434864515115,19192.35016746074,2727
1714644000,19192.35016746074,19211.719845668125,19180.61923558866,19187.71235718573,3655
